Sno,Album_Name,Artist_Name,Song_Name,Price,Time,Released,Label,Copyright,Genre,Group
29,#1 in Heaven (Azari & III Remix),Mndr,#1 in Heaven (Azari & III Remix),$1.29,5:27," July 23, 2013"," Ultra Records, LLC", 2012 InHouse Records,Dance & Electronic,Dance
30,#1 in Heaven (Remixes),Mndr,#1 in Heaven (DJ Skeet Skeet Remix),$1.29,6:06," July 23, 2013"," Ultra Records, LLC", 2012 InHouse Records,Dance & Electronic,Dance
31,#1 in Heaven (Remixes),Mndr,#1 in Heaven (Infuze Remix),$1.29,4:19," July 23, 2013"," Ultra Records, LLC", 2012 InHouse Records,Dance & Electronic,Dance
32,#1 in Heaven,Mndr,#1 in Heaven,$1.29,3:56," July 23, 2013"," Ultra Records, LLC", 2012 InHouse Records,Dance & Electronic,Dance
33,#13: It All Started When...,Adventures in Odyssey,167: Dobson Comes to Town,$1.99,22:04," December 9, 2001", Focus on the Family, 2006 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
34,#13: It All Started When...,Adventures in Odyssey,"167a: Bonus! The Creation Of Dobson Comes To Town""""",$1.99,1:48," December 9, 2001", Focus on the Family, 2006 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
35,#13: It All Started When...,Adventures in Odyssey,179: You Gotta Be Wise,$1.99,23:54," December 9, 2001", Focus on the Family, 2006 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
36,#13: It All Started When...,Adventures in Odyssey,179a: Bonus! The Creation Of The Adventures In Odyssey Theme Song,$1.99,4:14," December 9, 2001", Focus on the Family, 2006 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
37,#13: It All Started When...,Adventures in Odyssey,180: Isaac the Pure,$1.99,23:39," December 9, 2001", Focus on the Family, 2006 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
38,#13: It All Started When...,Adventures in Odyssey,181: It Takes Integrity,$1.99,23:25," December 9, 2001", Focus on the Family, 2006 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
39,#13: It All Started When...,Adventures in Odyssey,182: The Scales of Justice,$1.99,22:19," December 9, 2001", Focus on the Family, 2006 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
40,#13: It All Started When...,Adventures in Odyssey,182a: Bonus! Aio Time Filler Features,$1.99,0:54," December 9, 2001", Focus on the Family, 2006 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
41,#13: It All Started When...,Adventures in Odyssey,182b: Bonus! Super Sleuth - Your Skin,$1.99,0:56," December 9, 2001", Focus on the Family, 2006 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
42,#13: It All Started When...,Adventures in Odyssey,182c: Bonus! Mr. How-To - The House Built On Sand,$1.99,2:08," December 9, 2001", Focus on the Family, 2006 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
43,#13: It All Started When...,Adventures in Odyssey,182d: Bonus! Ancient World Of Sports - Gideon's Pitch,$1.99,1:55," December 9, 2001", Focus on the Family, 2006 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
44,#13: It All Started When...,Adventures in Odyssey,"182e: Bonus! Apostle Paul - Paul, Apostle Paul",$1.99,2:08," December 9, 2001", Focus on the Family, 2006 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
45,#13: It All Started When...,Adventures in Odyssey,182f: Bonus! Apostle Paul - Armed And Ready,$1.99,2:04," December 9, 2001", Focus on the Family, 2006 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
46,#20: A Journey of Choices,Adventures in Odyssey,"261: Afraid, Not!",$0.99,20:28," April 9, 1994", Focus on the Family, 1994 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
47,#20: A Journey of Choices,Adventures in Odyssey,263: When Bad Isn't So Good,$0.99,24:48:00," April 9, 1994", Focus on the Family, 1994 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
48,#20: A Journey of Choices,Adventures in Odyssey,264: Making the Grade,$0.99,24:37:00," April 9, 1994", Focus on the Family, 1994 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
49,#20: A Journey of Choices,Adventures in Odyssey,265: War of the Words,$0.99,20:10," April 9, 1994", Focus on the Family, 1994 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
50,#20: A Journey of Choices,Adventures in Odyssey,266: It Began with a Rabbit's Foot,$0.99,24:54:00," April 9, 1994", Focus on the Family, 1994 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
51,#20: A Journey of Choices,Adventures in Odyssey,267: It Ended with a Handshake,$0.99,25:36:00," April 9, 1994", Focus on the Family, 1994 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
52,#20: A Journey of Choices,Adventures in Odyssey,268: Pet Peeves,$0.99,23:16," April 9, 1994", Focus on the Family, 1994 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
53,#20: A Journey of Choices,Adventures in Odyssey,269: Fences,$0.99,20:45," April 9, 1994", Focus on the Family, 1994 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
54,#20: A Journey of Choices,Adventures in Odyssey,270: The War Hero,$0.99,24:59:00," April 9, 1994", Focus on the Family, 1994 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
55,#20: A Journey of Choices,Adventures in Odyssey,271: The Secret Keys of Discipline,$0.99,24:14:00," April 9, 1994", Focus on the Family, 1994 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
56,#20: A Journey of Choices,Adventures in Odyssey,"272: Two Brothers and Bernard, Part 1 of 2",$0.99,23:54," April 9, 1994", Focus on the Family, 1994 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
57,#20: A Journey of Choices,Adventures in Odyssey,"273: Two Brothers and Bernard, Part 2 of 2",$0.99,22:53," April 9, 1994", Focus on the Family, 1994 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
58,#24: Risks and Rewards,Adventures in Odyssey,307: Poetry in Slow Motion,$1.99,22:12," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
59,#24: Risks and Rewards,Adventures in Odyssey,308: Subject Yourself,$1.99,26:12:00," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
60,#24: Risks and Rewards,Adventures in Odyssey,312: Rewards in Full,$1.99,24:03:00," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
61,#24: Risks and Rewards,Adventures in Odyssey,313: Top This!,$1.99,24:33:00," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
62,#24: Risks and Rewards,Adventures in Odyssey,"314: The Underground Railroad, Part 1 of 3",$1.99,21:46," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
63,#24: Risks and Rewards,Adventures in Odyssey,"315: The Underground Railroad, Part 2 of 3",$1.99,20:13," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
64,#24: Risks and Rewards,Adventures in Odyssey,"316: The Underground Railroad, Part 3 of 3",$1.99,23:41," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
65,#24: Risks and Rewards,Adventures in Odyssey,317: B-TV: Envy,$1.99,24:41:00," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
66,#24: Risks and Rewards,Adventures in Odyssey,"318: A Touch of Healing, Part 1 of 2",$1.99,22:31," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
67,#24: Risks and Rewards,Adventures in Odyssey,"319: A Touch of Healing, Part 2 of 2",$1.99,26:04:00," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
68,#24: Risks and Rewards,Adventures in Odyssey,320: Where Is Thy Sting?,$1.99,28:50:00," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
69,#24: Risks and Rewards,Adventures in Odyssey,322: The Turning Point,$1.99,25:29:00," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
70,#26: Back on the Air,Adventures in Odyssey,321: Hidden In My Heart,$1.99,24:33:00," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
71,#26: Back on the Air,Adventures in Odyssey,"335: Love Is in the Air, Part 1 of 2",$1.99,24:38:00," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
72,#26: Back on the Air,Adventures in Odyssey,"336: Love Is in the Air, Part 2 of 2",$1.99,26:28:00," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
73,#26: Back on the Air,Adventures in Odyssey,337: W-O-R-R-Y,$1.99,23:22," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
74,#26: Back on the Air,Adventures in Odyssey,338: Easy Money,$1.99,24:35:00," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
75,#26: Back on the Air,Adventures in Odyssey,"339: Do, for a Change",$1.99,24:36:00," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
76,#26: Back on the Air,Adventures in Odyssey,"340: Pokenberry Falls, R.F.D., Part 1 of 2",$1.99,24:43:00," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
77,#26: Back on the Air,Adventures in Odyssey,"341: Pokenberry Falls, R.F.D., Part 2 of 2",$1.99,24:30:00," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
78,#26: Back on the Air,Adventures in Odyssey,"342: Welcome Home, Mr. Blackgaard",$1.99,24:31:00," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
79,#26: Back on the Air,Adventures in Odyssey,343: The Pretty Good Samaritan,$1.99,21:52," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
80,#26: Back on the Air,Adventures in Odyssey,346: Saint Paul: Voyage to Rome,$1.99,24:37:00," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
81,#26: Back on the Air,Adventures in Odyssey,347: Saint Paul: An Appointment with Caesar,$1.99,23:07," December 9, 2001", Focus on the Family, 1996 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
82,#31: Days to Remember,Adventures in Odyssey,383: B-TV: Thanks,$1.99,28:40:00," December 9, 2001", Focus on the Family, 1998 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
83,#31: Days to Remember,Adventures in Odyssey,"385: It's a Pokenberry Christmas, Part 1 of 2",$1.99,22:05," December 9, 2001", Focus on the Family, 1998 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
84,#31: Days to Remember,Adventures in Odyssey,"386: It's a Pokenberry Christmas, Part 2 of 2",$1.99,23:37," December 9, 2001", Focus on the Family, 1998 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
85,#31: Days to Remember,Adventures in Odyssey,387: New Years Eve Live!,$1.99,24:41:00," December 9, 2001", Focus on the Family, 1998 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
86,#31: Days to Remember,Adventures in Odyssey,393: Wrapped Around Your Finger,$1.99,27:51:00," December 9, 2001", Focus on the Family, 1998 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
87,#31: Days to Remember,Adventures in Odyssey,"394: Saint Patrick: A Heart Afire, Part 1 of 2",$1.99,24:27:00," December 9, 2001", Focus on the Family, 1998 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
88,#31: Days to Remember,Adventures in Odyssey,"395: Saint Patrick: A Heart Afire, Part 2 of 2",$1.99,25:48:00," December 9, 2001", Focus on the Family, 1998 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
89,#31: Days to Remember,Adventures in Odyssey,403: Faster Than a Speeding Ticket,$1.99,26:30:00," December 9, 2001", Focus on the Family, 1998 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
90,#31: Days to Remember,Adventures in Odyssey,404: Hide & Seek,$1.99,26:24:00," December 9, 2001", Focus on the Family, 1998 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
91,#31: Days to Remember,Adventures in Odyssey,405: The Graduate,$1.99,27:06:00," December 9, 2001", Focus on the Family, 1998 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
92,#31: Days to Remember,Adventures in Odyssey,409: Natural Born Leader,$1.99,25:30:00," December 9, 2001", Focus on the Family, 1998 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
93,#31: Days to Remember,Adventures in Odyssey,412: A Lesson From Mike,$1.99,21:51," December 9, 2001", Focus on the Family, 1998 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
94,#33: Virtual Realities,Adventures in Odyssey,418: Opening Day,$1.99,24:27:00," December 9, 2001", Focus on the Family, 2000 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
95,#33: Virtual Realities,Adventures in Odyssey,419: Another Man's Shoes,$1.99,23:17," December 9, 2001", Focus on the Family, 2000 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
96,#33: Virtual Realities,Adventures in Odyssey,"424: Blackgaard's Revenge, Part 1 of 2",$1.99,21:10," December 9, 2001", Focus on the Family, 2000 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
97,#33: Virtual Realities,Adventures in Odyssey,"425: Blackgaard's Revenge, Part 2 of 2",$1.99,18:40," December 9, 2001", Focus on the Family, 2000 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
98,#33: Virtual Realities,Adventures in Odyssey,426: The Buck Starts Here,$1.99,23:04," December 9, 2001", Focus on the Family, 2000 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
99,#33: Virtual Realities,Adventures in Odyssey,427: Something Cliqued Between Us,$1.99,22:05," December 9, 2001", Focus on the Family, 2000 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
100,#33: Virtual Realities,Adventures in Odyssey,428: The Eternal Birthday & Bethany's Imaginary Friend,$1.99,21:26," December 9, 2001", Focus on the Family, 2000 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
101,#33: Virtual Realities,Adventures in Odyssey,429: The Y.A.K. Problem,$1.99,21:44," December 9, 2001", Focus on the Family, 2000 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
102,#33: Virtual Realities,Adventures in Odyssey,430: Blind Girl's Bluff,$1.99,22:03," December 9, 2001", Focus on the Family, 2000 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
103,#33: Virtual Realities,Adventures in Odyssey,431: Where There's Smoke & The Virtual Kid,$1.99,20:48," December 9, 2001", Focus on the Family, 2000 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
104,#33: Virtual Realities,Adventures in Odyssey,"432: You Win Some, You Lose Some",$1.99,22:01," December 9, 2001", Focus on the Family, 2000 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
105,#33: Virtual Realities,Adventures in Odyssey,433: The Treasure Room & Chain Reaction,$1.99,22:39," December 9, 2001", Focus on the Family, 2000 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
106,#35: The Big Picture,Adventures in Odyssey,"449: The Big Deal, Part 1 of 2",$1.99,21:19," December 9, 2001", Focus on the Family, 2001 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
107,#35: The Big Picture,Adventures in Odyssey,"450: The Big Deal, Part 2 of 2",$1.99,22:40," December 9, 2001", Focus on the Family, 2001 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
108,#35: The Big Picture,Adventures in Odyssey,451: Life Trials of the Rich & Famous,$1.99,22:41," December 9, 2001", Focus on the Family, 2001 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
109,#35: The Big Picture,Adventures in Odyssey,452: Missionary Impossible,$1.99,22:53," December 9, 2001", Focus on the Family, 2001 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
110,#35: The Big Picture,Adventures in Odyssey,"453: The Great Wishy Woz, Part 1 of 2",$1.99,25:12:00," December 9, 2001", Focus on the Family, 2001 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
111,#35: The Big Picture,Adventures in Odyssey,"454: The Great Wishy Woz, Part 2 of 2",$1.99,25:39:00," December 9, 2001", Focus on the Family, 2001 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
112,#35: The Big Picture,Adventures in Odyssey,455: Best Laid Plans,$1.99,24:59:00," December 9, 2001", Focus on the Family, 2001 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
113,#35: The Big Picture,Adventures in Odyssey,456: Worst Day Ever,$1.99,22:58," December 9, 2001", Focus on the Family, 2001 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
114,#35: The Big Picture,Adventures in Odyssey,457: Opportunity Knocks,$1.99,22:27," December 9, 2001", Focus on the Family, 2001 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
115,#35: The Big Picture,Adventures in Odyssey,458: Red Herring,$1.99,25:12:00," December 9, 2001", Focus on the Family, 2001 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
116,#35: The Big Picture,Adventures in Odyssey,459: Slumber Party,$1.99,22:54," December 9, 2001", Focus on the Family, 2001 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
117,#35: The Big Picture,Adventures in Odyssey,460: Nova Rising,$1.99,24:32:00," December 9, 2001", Focus on the Family, 2001 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
118,#38: Battle Lines,Adventures in Odyssey,"488: Under the Influence, Part 1 of 2",$1.99,22:09," December 9, 2001", Focus on the Family, 2002 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
119,#38: Battle Lines,Adventures in Odyssey,"489: Under the Influence, Part 2 of 2",$1.99,28:27:00," December 9, 2001", Focus on the Family, 2002 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
120,#38: Battle Lines,Adventures in Odyssey,"490: The Black Veil, Part 1 of 2",$1.99,19:44," December 9, 2001", Focus on the Family, 2002 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
121,#38: Battle Lines,Adventures in Odyssey,"491: The Black Veil, Part 2 of 2",$1.99,22:47," December 9, 2001", Focus on the Family, 2002 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
122,#38: Battle Lines,Adventures in Odyssey,492: Twisting Pathway,$1.99,23:11," December 9, 2001", Focus on the Family, 2002 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
123,#38: Battle Lines,Adventures in Odyssey,493: Sheep's Clothing,$1.99,22:41," December 9, 2001", Focus on the Family, 2002 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
124,#38: Battle Lines,Adventures in Odyssey,494: Box of Miracles,$1.99,22:29," December 9, 2001", Focus on the Family, 2002 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
125,#38: Battle Lines,Adventures in Odyssey,495: The Unraveling,$1.99,24:27:00," December 9, 2001", Focus on the Family, 2002 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
126,#38: Battle Lines,Adventures in Odyssey,496: Exceptional Circumstances,$1.99,24:28:00," December 9, 2001", Focus on the Family, 2002 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
127,#38: Battle Lines,Adventures in Odyssey,497: Expect the Worst,$1.99,22:45," December 9, 2001", Focus on the Family, 2002 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
128,#38: Battle Lines,Adventures in Odyssey,498: Exactly As Planned,$1.99,23:36," December 9, 2001", Focus on the Family, 2002 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
129,#38: Battle Lines,Adventures in Odyssey,499: Exit,$1.99,22:20," December 9, 2001", Focus on the Family, 2002 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
130,#42: No Way Out,Adventures in Odyssey,"535: Living in the Gray, Part 1 of 2",$1.99,23:14," December 9, 2001", Focus on the Family, 2004 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
131,#42: No Way Out,Adventures in Odyssey,"536: Living in the Gray, Part 2 of 2",$1.99,22:48," December 9, 2001", Focus on the Family, 2004 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
132,#42: No Way Out,Adventures in Odyssey,538: Stubborn Streaks,$1.99,23:34," December 9, 2001", Focus on the Family, 2004 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
133,#42: No Way Out,Adventures in Odyssey,539: Called on in Class,$1.99,21:24," December 9, 2001", Focus on the Family, 2004 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
134,#42: No Way Out,Adventures in Odyssey,540: The Girl in the Sink,$1.99,24:21:00," December 9, 2001", Focus on the Family, 2004 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
135,#42: No Way Out,Adventures in Odyssey,541: Bernard & Saul,$1.99,24:30:00," December 9, 2001", Focus on the Family, 2004 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
136,#42: No Way Out,Adventures in Odyssey,542: Eggshells,$1.99,24:14:00," December 9, 2001", Focus on the Family, 2004 Focus on the Family,"Children's,Children's Music,Christian Contemporary Music,Christian",Other
